aimag,sum_name
Улаанбаатар,Баянгол
Улаанбаатар,Баянзүрх
Улаанбаатар,Сонгинохайрхан
Улаанбаатар,Сүхбаатар
Улаанбаатар,Хан-Уул
Улаанбаатар,Чингэлтэй
Улаанбаатар,Налайх
Улаанбаатар,Багануур
Улаанбаатар,Багахангай
Архангай,Эрдэнэбулган
Архангай,Батцэнгэл
Архангай,Булган
Архангай,Жаргалант
Архангай,Ихтамир
Архангай,Өгийнуур
Архангай,Өлзийт
Архангай,Өндөр-Улаан
Архангай,Тариат
Архангай,Төвшрүүлэх
Архангай,Хайрхан
Архангай,Хангай
Архангай,Хашаат
Архангай,Хотонт
Архангай,Цахир
Архангай,Цэнхэр
Архангай,Цэцэрлэг
Архангай,Чулуут
Архангай,Эрдэнэмандал
Баян-Өлгий,Өлгий
Баян-Өлгий,Алтай
Баян-Өлгий,Алтанцөгц
Баян-Өлгий,Баяннуур
Баян-Өлгий,Бугат
Баян-Өлгий,Булган
Баян-Өлгий,Буянт
Баян-Өлгий,Дэлүүн
Баян-Өлгий,Ногооннуур
Баян-Өлгий,Сагсай
Баян-Өлгий,Толбо
Баян-Өлгий,Улаанхус
Баян-Өлгий,Цэнгэл
Баянхонгор,Баянхонгор
Баянхонгор,Баацагаан
Баянхонгор,Баянбулаг
Баянхонгор,Баянговь
Баянхонгор,Баянлиг
Баянхонгор,Баян-Овоо
Баянхонгор,Баян-Өндөр
Баянхонгор,Баянцагаан
Баянхонгор,Богд
Баянхонгор,Бөмбөгөр
Баянхонгор,Бууцагаан
Баянхонгор,Галуут
Баянхонгор,Гурванбулаг
Баянхонгор,Жаргалант
Баянхонгор,Жинст
Баянхонгор,Заг
Баянхонгор,Өлзийт
Баянхонгор,Хүрээмарал
Баянхонгор,Шинэжинст
Баянхонгор,Эрдэнэцогт
Булган,Булган
Булган,Баян-Агт
Булган,Баяннуур
Булган,Бугат
Булган,Бүрэгхангай
Булган,Гурванбулаг
Булган,Дашинчилэн
Булган,Могод
Булган,Орхон
Булган,Рашаант
Булган,Сайхан
Булган,Сэлэнгэ
Булган,Тэшиг
Булган,Хангал
Булган,Хишиг-Өндөр
Булган,Хутаг-Өндөр
Говь-Алтай,Есөнбулаг
Говь-Алтай,Алтай
Говь-Алтай,Баян-Уул
Говь-Алтай,Бигэр
Говь-Алтай,Бугат
Говь-Алтай,Дарви
Говь-Алтай,Дэлгэр
Говь-Алтай,Жаргалан
Говь-Алтай,Тайшир
Говь-Алтай,Төгрөг
Говь-Алтай,Тонхил
Говь-Алтай,Халиун
Говь-Алтай,Хөхморьт
Говь-Алтай,Цогт
Говь-Алтай,Цээл
Говь-Алтай,Чандмань
Говь-Алтай,Шарга
Говь-Алтай,Эрдэнэ
Говьсүмбэр,Сүмбэр
Говьсүмбэр,Баянтал
Говьсүмбэр,Шивээговь
Дархан-Уул,Дархан
Дархан-Уул,Орхон
Дархан-Уул,Шарынгол
Дархан-Уул,Хонгор
Дорнод,Хэрлэн
Дорнод,Баян-Уул
Дорнод,Баянтүмэн
Дорнод,Баяндун
Дорнод,Булган
Дорнод,Гурванзагал
Дорнод,Дашбалбар
Дорнод,Матад
Дорнод,Сэргэлэн
