aimag,station_nam,index,lat,lon,hhh
Архангай,Цэцэрлэг,282,47.47163889,101.4627861,1691.0
Архангай,Тариат,229,48.15736111,99.87655556,2060.0
Архангай,Түвшрүүлэх,281,47.39005556,101.91325,1618.0
Архангай,Эрдэнэмандал,237,48.52952778,101.3674167,1509.0
Архангай,Өгийнуур,505,47.66491667,102.5475556,1348.0
Архангай,Өлзийт,506,48.10305556,102.5536944,1298.0
Архангай,Өндөр-Улаан,507,48.04630556,100.5057361,1935.0
Архангай,Цахир,517,48.10575,99.13522222,2116.0
Архангай,Хангай,510,47.85949444,99.43960556,2134.0
Архангай,Хайрхан,509,48.61251944,101.9366917,1352.0
Архангай,Хашаат,511,47.4473,103.140775,1292.0
Архангай,Хотонт,512,47.36365,102.4645722,1455.0
Архангай,Жаргалант,503,48.724725,100.7667417,1602.0
Архангай,Батцэнгэл,501,47.79330556,101.962475,1427.0
Архангай,Цэцэрлэг,514,48.88559444,101.2372639,1714.0
Архангай,Булган,502,47.31934722,101.109175,1923.0
Архангай,Чулуут,515,47.53925556,100.2316556,2030.0
Баян-Өлгий,Өлгий,214,48.97986667,89.93837778,1715.0
Баян-Өлгий,Баяннуур,200,48.93951389,91.16160833,1350.0
Баян-Өлгий,Дэлүүн,261,47.86255833,90.69737222,2160.0
Баян-Өлгий,Ногооннуур,210,49.61528333,90.24334444,1480.0
Баян-Өлгий,Дөчинжил,263,46.93011667,91.08188611,1951.0
Баян-Өлгий,Ялалт,217,48.299275,89.515125,2148.0
Баянхонгор,Баянхонгор,287,46.17378889,100.7101778,1859.0
Баянхонгор,Байдраг,276,47.01606389,99.47910833,2027.0
Баянхонгор,Баянбулаг,275,46.81202778,98.08727778,2261.0
Баянхонгор,Хориулт,334,45.19381944,100.7772111,1280.0
Баянхонгор,Баянцагаан,326,45.00675,98.91258333,2027.0
Баянхонгор,Галуут,284,46.70206389,100.1428194,2128.0
Баянхонгор,Бодь,555,45.414075,100.5716583,1390.0
Баянхонгор,Жинст,329,44.54559444,99.27217778,2220.0
Баянхонгор,Гурванбулаг,546,47.21679167,98.56803056,2430.0
Булган,Булган,239,48.81964444,103.517125,1219.0
Булган,Гурванбулаг,283,47.73514722,103.4693167,1093.0
Булган,Ингэттолгой,233,49.45553056,103.9776,800.0
Булган,Могод,235,48.26864167,102.9691194,1439.0
Булган,Хутаг,232,49.393675,102.7090639,912.0
Булган,Тэшиг,205,49.93545833,102.667125,1020.0
Булган,Хангал,580,49.32086944,104.3796972,1041.0
