aimag,station_nam,index,lat,lon,hhh
Архангай,Цэцэрлэг (Ус судлалын харуул),239,47.48,101.45,
Архангай,Хашаат (Ус судлалын харуул),240,47.41,103.11,
Архангай,Батцэнгэл (Ус судлалын харуул),238,47.78,101.96,
Архангай,Тариат (Ус судлалын харуул),230,48.15,99.21,
Архангай,Өгийнуур (Ус судлалын харуул),235,47.76,102.76,
Архангай,Чулуут (Ус судлалын харуул),233,48.01,100.21,
Архангай,Ихтамир (Ус судлалын харуул),232,47.58,101.21,
Архангай,Өндөр-Улаан (Ус судлалын харуул),234,48.06,100.86,
Архангай,Хайрхан (Ус судлалын харуул),236,48.33,101.88,
Баян-Өлгий,Булган (Ус судлалын харуул),488,46.9,91.11,
Баян-Өлгий,Өлгий (Ус судлалын харуул),481,48.97,89.98,
Баян-Өлгий,Сагсай (Ус судлалын харуул),486,48.97,89.94,
Баян-Өлгий,Цэнгэл (Ус судлалын харуул),483,48.94,89.15,
Баян-Өлгий,Улаанхус (Ус судлалын харуул),485,49.03,89.65,
Баян-Өлгий,Алтай (Ус судлалын харуул),491,48.3,90.41,
Баянхонгор,Баянхонгор (Ус судлалын харуул),272,46.13,100.72,
Баянхонгор,Галуут (Ус судлалын харуул),111,46.72,100.12,
Баянхонгор,Баян-Овоо (Ус судлалын харуул),113,46.28,100.73,
Баянхонгор,Шинэжинст (Ус судлалын харуул),115,44.53,99.28,
Баянхонгор,Гурванбулаг (Ус судлалын харуул),117,47.23,98.65,
Баянхонгор,Баянлиг (Ус судлалын харуул),121,44.55,100.81,
Баянхонгор,Бөөнцагаан (Ус судлалын харуул),123,45.58,99.15,
Баянхонгор,Орог нуур (Ус судлалын харуул),125,45.03,100.75,
Баянхонгор,Эрдэнэцогт (Ус судлалын харуул),127,46.38,100.95,
Булган,Хялганат (Ус судлалын харуул),225,49.48,104.38,
Булган,Тэшиг (Ус судлалын харуул),224,49.95,103.11,
Булган,Баян-Агт (Ус судлалын харуул),222,49.25,102.31,
Булган,Хангал (Ус судлалын харуул),221,49.31,104.28,
Булган,Сэлэнгэ сум (Ус судлалын харуул),226,49.41,104.01,
Булган,Бугат (Ус судлалын харуул),227,49.43,103.58,
Булган,Сайхан (Ус судлалын харуул),228,48.81,102.75,
Булган,Гурванбулаг (Ус судлалын харуул),229,47.53,103.51,
Булган,Орхон (Ус судлалын харуул),601,48.61,103.55,
Булган,Хутаг-Өндөр (Ус судлалын харуул),605,49.39,102.71,
Говь-Алтай,Алтай (Ус судлалын харуул),264,46.37,96.25,
Говь-Алтай,Жаргалан (Ус судлалын харуул),211,46.91,95.83,
Говь-Алтай,Гуулин (Ус судлалын харуул),213,46.61,96.71,
Говь-Алтай,Тайшир (Ус судлалын харуул),215,46.69,96.68,
Говь-Алтай,Цээл (Ус судлалын харуул),217,45.95,95.23,
