aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
Архангай;Цэцэрлэг;AWS;Цэцэрлэг;47.47163889;101.4627861;1691;AWS index=282
Архангай;Тариат;AWS;Тариат;48.15736111;99.87655556;2060;AWS index=229
Архангай;Түвшрүүлэх;AWS;Түвшрүүлэх;47.39005556;101.91325;1618;AWS index=281
Архангай;Эрдэнэмандал;AWS;Эрдэнэмандал;48.52952778;101.3674167;1509;AWS index=237
Архангай;Өгийнуур;AWS;Өгийнуур;47.66491667;102.5475556;1348;AWS index=505
Архангай;Өлзийт;AWS;Өлзийт;48.10305556;102.5536944;1298;AWS index=506
Архангай;Өндөр-Улаан;AWS;Өндөр-Улаан;48.04630556;100.5057361;1935;AWS index=507
Архангай;Цахир;AWS;Цахир;48.10575;99.13522222;2116;AWS index=517
Архангай;Хангай;AWS;Хангай;47.85949444;99.43960556;2134;AWS index=510
Архангай;Хайрхан;AWS;Хайрхан;48.61251944;101.9366917;1352;AWS index=509
Архангай;Хашаат;AWS;Хашаат;47.4473;103.140775;1292;AWS index=511
Архангай;Хотонт;AWS;Хотонт;47.36365;102.4645722;1455;AWS index=512
Архангай;Жаргалант;AWS;Жаргалант;48.724725;100.7667417;1602;AWS index=503
Архангай;Батцэнгэл;AWS;Батцэнгэл;47.79330556;101.962475;1427;AWS index=501
Архангай;Цэцэрлэг;AWS;Цэцэрлэг;48.88559444;101.2372639;1714;AWS index=514
Архангай;Булган;AWS;Булган;47.31934722;101.109175;1923;AWS index=502
Архангай;Чулуут;AWS;Чулуут;47.53925556;100.2316556;2030;AWS index=515
Баян-Өлгий;Өлгий;AWS;Өлгий;48.97986667;89.93837778;1715;AWS index=214
Баян-Өлгий;Баяннуур;AWS;Баяннуур;48.93951389;91.16160833;1350;AWS index=200
Баян-Өлгий;Дэлүүн;AWS;Дэлүүн;47.86255833;90.69737222;2160;AWS index=261
Баян-Өлгий;Ногооннуур;AWS;Ногооннуур;49.61528333;90.24334444;1480;AWS index=210
Баян-Өлгий;Дөчинжил;AWS;Дөчинжил;46.93011667;91.08188611;1951;AWS index=263
Баян-Өлгий;Ялалт;AWS;Ялалт;48.299275;89.515125;2148;AWS index=217
Баянхонгор;Баянхонгор;AWS;Баянхонгор;46.17378889;100.7101778;1859;AWS index=287
Баянхонгор;Байдраг;AWS;Байдраг;47.01606389;99.47910833;2027;AWS index=276
Баянхонгор;Баянбулаг;AWS;Баянбулаг;46.81202778;98.08727778;2261;AWS index=275
Баянхонгор;Хориулт;AWS;Хориулт;45.19381944;100.7772111;1280;AWS index=334
Баянхонгор;Баянцагаан;AWS;Баянцагаан;45.00675;98.91258333;2027;AWS index=326
Баянхонгор;Галуут;AWS;Галуут;46.70206389;100.1428194;2128;AWS index=284
Баянхонгор;Бодь;AWS;Бодь;45.414075;100.5716583;1390;AWS index=555
Баянхонгор;Жинст;AWS;Жинст;44.54559444;99.27217778;2220;AWS index=329
Баянхонгор;Гурванбулаг;AWS;Гурванбулаг;47.21679167;98.56803056;2430;AWS index=546
Булган;Булган;AWS;Булган;48.81964444;103.517125;1219;AWS index=239
Булган;Гурванбулаг;AWS;Гурванбулаг;47.73514722;103.4693167;1093;AWS index=283
Булган;Ингэттолгой;AWS;Ингэттолгой;49.45553056;103.9776;800;AWS index=233
Булган;Могод;AWS;Могод;48.26864167;102.9691194;1439;AWS index=235
Булган;Хутаг;AWS;Хутаг;49.393675;102.7090639;912;AWS index=232
Булган;Тэшиг;AWS;Тэшиг;49.93545833;102.667125;1020;AWS index=205
Булган;Хангал;AWS;Хангал;49.32086944;104.3796972;1041;AWS index=580
Булган;Бугат;AWS;Бугат;49.05929167;103.6737556;1222;AWS index=572
Булган;Орхон;AWS;Орхон;48.62483889;103.5486361;1066;AWS index=576
Булган;Баян-Агт;AWS;Баян-Агт;49.041325;102.0914194;1524;AWS index=571
Булган;Сайхан;AWS;Сайхан;48.6651;102.6176611;1480;AWS index=577
Булган;Хишиг-Өндөр;AWS;Хишиг-Өндөр;48.29665833;103.4271056;1309;AWS index=581
Булган;Бүрэгхангай;AWS;Бүрэгхангай;48.25189444;103.8679556;1291;AWS index=573
Булган;Баяннуур;AWS;Баяннуур;47.83124722;104.4486556;970;AWS index=582
Булган;Рашаант;AWS;Рашаант;47.37285556;103.9483472;1366;AWS index=583
Говь-Алтай;Ажбогд;AWS;Ажбогд;44.61941667;94.92313889;1425;AWS index=324
Говь-Алтай;Алтай;AWS;Алтай;46.37759722;96.24058333;2180;AWS index=277
Говь-Алтай;Бугат;AWS;Бугат;45.5602;94.36158056;2147;AWS index=268
Говь-Алтай;Тонхил;AWS;Тонхил;46.31318611;93.9015;2221;AWS index=266
Говь-Алтай;Тоорой;AWS;Тоорой;44.92994444;96.75525;1179;AWS index=325
Говь-Алтай;Хөхморьт;AWS;Хөхморьт;47.36533333;94.52836111;1445;AWS index=262
Говь-Алтай;Цогт;AWS;Цогт;45.35852778;96.63375278;2317;AWS index=600
Говь-Алтай;Цээл;AWS;Цээл;45.57041667;95.86768611;2084;AWS index=601
Говь-Алтай;Эрдэнэ;AWS;Эрдэнэ;45.1645;97.70127778;2435;AWS index=604
Говь-Алтай;Баян-Уул;AWS;Баян-Уул;46.99871389;95.200975;1841;AWS index=591
Говь-Алтай;Бигэр;AWS;Бигэр;45.71663889;97.16708333;1359;AWS index=592
Дорноговь;Сайншанд;AWS;Сайншанд;44.86780556;110.11695;968;AWS index=354
Дорноговь;Дэлгэрэх;AWS;Дэлгэрэх;45.78455556;111.2010972;1065;AWS index=351
Дорноговь;Замын-Үүд;AWS;Замын-Үүд;43.70251389;111.9008083;964;AWS index=358
Дорноговь;Мандах;AWS;Мандах;44.40016389;108.2349639;1309;AWS index=348
Дорноговь;Улаан-Уул;AWS;Улаан-Уул;44.44376944;111.0859639;992;AWS index=357
Дорноговь;Хөвсгөл;AWS;Хөвсгөл;43.60078056;109.6338778;998;AWS index=386
Дорноговь;Айраг;AWS;Айраг;45.6;109.19;1238;AWS index=616
Дорнод;Чойбалсан;AWS;Чойбалсан;48.08123056;114.5375167;747;AWS index=259
Дорнод;Дашбалбар;AWS;Дашбалбар;49.55091389;114.4042472;706;AWS index=256
Дорнод;Баяндун;AWS;Баяндун;49.24636667;113.3697861;910;AWS index=636
Дорнод;Матад;AWS;Матад;46.95507778;115.2963556;907;AWS index=314
Дорнод;Онон;AWS;Онон;49.114175;112.6580694;896;AWS index=255
Дорнод;Халхгол;AWS;Халхгол;47.37;118.37;688;AWS index=313
Дундговь;Мандалговь;AWS;Мандалговь;45.74303611;106.2641722;1393;AWS index=341
Дундговь;Гурвансайхан;AWS;Гурвансайхан;45.52828611;107.0446222;1165;AWS index=345
Дундговь;Сайхан-Овоо;AWS;Сайхан-Овоо;45.46118056;103.9001028;1316;AWS index=336
Дундговь;Эрдэнэдалай;AWS;Эрдэнэдалай;45.99875278;104.9381639;1377;AWS index=333
Дундговь;Цагаандэлгэр;AWS;Цагаандэлгэр;46.40521944;107.6373028;1393;AWS index=300
Дундговь;Говь-Угтаал;AWS;Говь-Угтаал;46.049;107.48425;1481;AWS index=342
Дундговь;Өндөршил;AWS;Өндөршил;45.23248889;108.2794083;1175;AWS index=664
Дундговь;Баянжаргалан;AWS;Баянжаргалан;45.75672222;108.0003444;1240;AWS index=657
Дундговь;Адаацаг;AWS;Адаацаг;46.39197778;105.7298139;1481;AWS index=656
Дундговь;Дэлгэрхангай;AWS;Дэлгэрхангай;45.23949167;104.797025;1472;AWS index=659
Дундговь;Дэрэн;AWS;Дэрэн;46.20866944;106.7146639;1292;AWS index=661
Дундговь;Луус;AWS;Луус;45.51667222;105.7606278;1443;AWS index=662
Дундговь;Өлзийт;AWS;Өлзийт;44.93903889;106.3199083;1244;AWS index=663
Дундговь;Хулд;AWS;Хулд;45.22567222;105.5528806;1337;AWS index=665
Завхан;Улиастай;AWS;Улиастай;47.72711111;96.84761111;1776;AWS index=272
Завхан;Тосонцэнгэл;AWS;Тосонцэнгэл;48.76305556;98.26616667;1722;AWS index=225
Завхан;Дөрвөлжин;AWS;Дөрвөлжин;47.64663889;94.99908333;1391;AWS index=219
Завхан;Завханмандал;AWS;Завханмандал;48.32244444;95.10680556;1443;AWS index=227
Завхан;Тэс;AWS;Тэс;49.65161111;95.77463889;1284;AWS index=687
Завхан;Цэцэн-Уул;AWS;Цэцэн-Уул;48.74804444;96.00427222;1928;AWS index=224
Завхан;Нөмрөг;AWS;Нөмрөг;48.87058333;96.96163889;1848;AWS index=220
Завхан;Отгон;AWS;Отгон;47.20963889;97.60468889;2156;AWS index=274
Завхан;Түдэвтэй;AWS;Түдэвтэй;48.98648889;96.55146667;1777;AWS index=685
Өвөрхангай;Арвайхээр;AWS;Арвайхээр;46.25905556;102.7890278;1813;AWS index=288
Өвөрхангай;Баруунбаян-Улаан;AWS;Баруунбаян-Улаан;45.17852778;101.4132778;1260;AWS index=331
Өвөрхангай;Баян-Өндөр;AWS;Баян-Өндөр;46.49555556;104.1125;1620;AWS index=289
Өвөрхангай;Богд;AWS;Богд;44.67441667;102.1758056;1519;AWS index=338
Өвөрхангай;Төгрөг;AWS;Төгрөг;45.53913889;102.9992778;1390;AWS index=332
Өвөрхангай;Хархорин;AWS;Хархорин;47.19483333;102.8297222;1480;AWS index=330
Өвөрхангай;Хужирт;AWS;Хужирт;46.89977778;102.77875;1650;AWS index=285
Өвөрхангай;Уянга;AWS;Уянга;46.46255278;102.284075;1980;AWS index=719
Өвөрхангай;Бүрд;AWS;Бүрд;46.98366944;103.7929306;1460;AWS index=710
Өвөрхангай;Зүүнбаян-Улаан;AWS;Зүүнбаян-Улаан;46.52593889;102.5933972;1882;AWS index=713
Өвөрхангай;Хайрхандулаан;AWS;Хайрхандулаан;45.96165;102.0559361;1850;AWS index=720
Өвөрхангай;Баруунхайрхан;AWS;Баруунхайрхан;46.61340278;103.5473667;1628;AWS index=715
Өвөрхангай;Зүйл;AWS;Зүйл;46.761575;103.5130083;1750;AWS index=712
Өвөрхангай;Нарийнтээл;AWS;Нарийнтээл;45.96085833;101.4533472;1820;AWS index=714
Өвөрхангай;Гучин-Ус;AWS;Гучин-Ус;45.46299722;102.4246944;1475;AWS index=711
Өвөрхангай;Бат-Өлзий;AWS;Бат-Өлзий;46.81335833;102.2420806;1670;AWS index=707
Өвөрхангай;Сант;AWS;Сант;46.09484444;103.8390389;1500;AWS index=716
Өвөрхангай;Баянгол;AWS;Баянгол;45.8073;103.4453556;1430;AWS index=708
Өмнөговь;Даланзадгад;AWS;Даланзадгад;43.57722222;104.4180556;1470;AWS index=373
Өмнөговь;Гурвантэс;AWS;Гурвантэс;43.23105556;101.0425;1725;AWS index=374
Өмнөговь;Цогт-Овоо;AWS;Цогт-Овоо;44.42319444;105.3168111;1298;AWS index=347
Өмнөговь;Ханбогд;AWS;Ханбогд;43.19575;107.1935278;1114;AWS index=385
Өмнөговь;Сайхан;AWS;Сайхан;44.09611111;103.5369167;1320;AWS index=339
Өмнөговь;Манлай;AWS;Манлай;44.08175;106.8656389;1298;AWS index=382
Сүхбаатар;Дарьганга;AWS;Дарьганга;45.30352778;113.84425;1246;AWS index=356
Сүхбаатар;Эрдэнэцагаан;AWS;Эрдэнэцагаан;45.92879444;115.37615;1070;AWS index=317
Сүхбаатар;Баруун-Урт;AWS;Баруун-Урт;46.67133333;113.28;976;AWS index=305
Сүхбаатар;Баяндэлгэр;AWS;Баяндэлгэр;45.72575;112.3590333;1108;AWS index=352
Сэлэнгэ;Сүхбаатар;AWS;Сүхбаатар;50.24300833;106.1727333;628;AWS index=240
Сэлэнгэ;Баруунхараа;AWS;Баруунхараа;48.91319444;106.0896028;808;AWS index=241
Сэлэнгэ;Ерөө;AWS;Ерөө;49.74916667;106.6610861;675;AWS index=243
Сэлэнгэ;Зүүнхараа;AWS;Зүүнхараа;48.86049167;106.4430944;883;AWS index=253
Сэлэнгэ;Орхон;AWS;Орхон;49.14362778;105.4021333;753;AWS index=242
Төв;Заамар;AWS;Заамар;48.08544444;104.8064139;1163;AWS index=805
Сэлэнгэ;Цагааннуур;AWS;Цагааннуур;50.11059444;105.4518833;785;AWS index=209
Сэлэнгэ;Бугант;AWS;Бугант;49.42071667;107.2794806;794;AWS index=783
Төв;Зуунмод;AWS;Зуунмод;47.70771944;106.9346417;1549;AWS index=290
Төв;Лүн;AWS;Лүн;47.86680556;105.251;1012;AWS index=297
Төв;Мааньт;AWS;Мааньт;47.25675;107.5379167;1426;AWS index=294
Төв;Угтаал;AWS;Угтаал;48.25836111;105.4049167;1143;AWS index=247
Төв;Мөнгөнморьт;AWS;Мөнгөнморьт;48.20641667;108.4861111;1429;AWS index=250
Төв;Баянчандмань;AWS;Баянчандмань;48.2275;106.2841944;1257;AWS index=246
Төв;Жаргалант;AWS;Жаргалант;48.52669444;105.8806111;1007;AWS index=252
Төв;Бүрэн;AWS;Бүрэн;46.91747222;105.0470833;1274;AWS index=340
Төв;Алтанбулаг;AWS;Алтанбулаг;47.69483333;106.4095833;1215;AWS index=370
Төв;Эрдэнэсант;AWS;Эрдэнэсант;47.33358333;104.4929167;1358;AWS index=286
Төв;Баян-Өнжүүл;AWS;Баян-Өнжүүл;47.04061111;105.9541111;1213;AWS index=344
Төв;Нөхөрлөл;AWS;Нөхөрлөл;47.94692778;105.8984333;1236;AWS index=810
Төв;Борнуур;AWS;Борнуур;48.48755278;106.2620111;1022;AWS index=801
Төв;Батсүмбэр;AWS;Батсүмбэр;48.36437778;106.7286333;1169;AWS index=794
Төв;Заамар;AWS;Заамар;48.23616944;104.7696778;1163;AWS index=805
Төв;Өндөрширээт;AWS;Өндөрширээт;47.448875;105.0549528;1040;AWS index=807
Төв;Залуучууд;AWS;Залуучууд;48.44981389;105.3194306;1059;AWS index=793
Төв;Баянцагаан;AWS;Баянцагаан;46.79470833;107.14455;1357;AWS index=799
Төв;Баянжаргалан;AWS;Баянжаргалан;47.17856667;108.2567083;1375;AWS index=796
Төв;Эрдэнэ;AWS;Эрдэнэ;47.71383611;107.7918472;1574;AWS index=811
Төв;Дэлгэрхаан;AWS;Дэлгэрхаан;46.64180278;104.5635389;1552;AWS index=803
Увс;Улаангом;AWS;Улаангом;49.97145;92.07781389;939;AWS index=212
Увс;Баруунтуруун;AWS;Баруунтуруун;49.65850278;94.40407222;1232;AWS index=213
Увс;Тэс;AWS;Тэс;50.47844444;93.59947222;799;AWS index=211
Увс;Хар-Ус;AWS;Хар-Ус;49.10478889;91.726175;1588;AWS index=215
