aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
Хөвсгөл;;HYDRO;Сэлэнгэ - Тосонцэнгэл;49.26965;100.7708167;;Гол
Булган;;HYDRO;Сэлэнгэ - Хутаг;49.57879444;102.9943722;;Гол
Булган;;HYDRO;Сэлэнгэ - Хялганат;49.45744444;104.3693694;;Гол
Сэлэнгэ;;HYDRO;Сэлэнгэ - Зүүнбүрэн;50.10452222;105.8055889;;Гол
Сэлэнгэ;;HYDRO;Сэлэнгэ - Сүхбаатар;50.25255278;106.1376806;;Гол
Завхан;;HYDRO;Идэр - Идэр;48.34986944;97.45366944;;Гол
Хөвсгөл;;HYDRO;Идэр - Дээдтолгой;48.739944;98.2472222;;Гол
Хөвсгөл;;HYDRO;Идэр - Их-Уул;48.709111;98.802944;;Гол
Хөвсгөл;;HYDRO;Идэр - Зүрх;48.937005;100.1743733;;Гол
Завхан;;HYDRO;Хожуул - Тосонцэнгэл;48.721075;98.25800833;;Гол
Архангай;;HYDRO;Чулуут - Чулуут;47.53583333;100.2408333;;Гол
Архангай;;HYDRO;Чулуут - Өндөр - Улаан;48.09;100.3197222;;Гол
Архангай;;HYDRO;Суман - Тариат;48.13805556;99.83111111;;Гол
Архангай;;HYDRO;Гичгэнэ - Тариат;48.11944444;99.93861111;;Гол
Хөвсгөл;;HYDRO;Дэлгэрмөрөн - Арбулаг;49.56423889;99.25276111;;Гол
Хөвсгөл;;HYDRO;Дэлгэрмөрөн - Мөрөн;49.58510833;100.1517556;;Гол
Хөвсгөл;;HYDRO;Бэлтэс - Баянзүрх;50.16990833;98.972875;;Гол
Хөвсгөл;;HYDRO;Бүгсий - Төмөрбулаг;49.289775;100.2212556;;Гол
Архангай;;HYDRO;Хануй - Эрдэнэмандал;48.53;101.39;;Гол
Булган;;HYDRO;Хануй - Баян-Агт;48.95504722;102.1339917;;Гол
Хөвсгөл;;HYDRO;Хороо - Ханх;51.59345278;100.4616917;;Гол
Хөвсгөл;;HYDRO;Эг - Хатгал;50.42061111;100.1523194;;Гол
Хөвсгөл;;HYDRO;Эг - Эрдэнэбулган;50.09717778;101.5860028;;Гол
Булган;;HYDRO;Эг - Тэшиг;49.73516944;102.7494472;;Гол
