№,Төрөл,Харуулын нэрс,Сум_Аймаг_Хот,Өргөрөг,Уртраг
1,Гол,Сэлэнгэ - Тосонцэнгэл,Хөвсгөл,49.26965,100.7708167
2,Гол,Сэлэнгэ - Хутаг,Булган,49.57879444,102.9943722
3,Гол,Сэлэнгэ - Хялганат,Булган,49.45744444,104.3693694
4,Гол,Сэлэнгэ - Зүүнбүрэн,Сэлэнгэ,50.10452222,105.8055889
5,Гол,Сэлэнгэ - Сүхбаатар,Сэлэнгэ,50.25255278,106.1376806
6,Гол,Идэр - Идэр,Завхан,48.34986944,97.45366944
7,Гол,Идэр - Дээдтолгой,Хөвсгөл,48.739944,98.2472222
8,Гол,Идэр - Их-Уул,Хөвсгөл,48.709111,98.802944
9,Гол,Идэр - Зүрх,Хөвсгөл,48.937005,100.1743733
10,Гол,Хожуул - Тосонцэнгэл,Завхан,48.721075,98.25800833
11,Гол,Чулуут - Чулуут,Архангай,47.53583333,100.2408333
12,Гол,Чулуут - Өндөр - Улаан,Архангай,48.09,100.3197222
13,Гол,Суман - Тариат,Архангай,48.13805556,99.83111111
14,Гол,Гичгэнэ - Тариат,Архангай,48.11944444,99.93861111
15,Гол,Дэлгэрмөрөн - Арбулаг,Хөвсгөл,49.56423889,99.25276111
16,Гол,Дэлгэрмөрөн - Мөрөн,Хөвсгөл,49.58510833,100.1517556
17,Гол,Бэлтэс - Баянзүрх,Хөвсгөл,50.16990833,98.972875
18,Гол,Бүгсий - Төмөрбулаг,Хөвсгөл,49.289775,100.2212556
19,Гол,Хануй - Эрдэнэмандал,Архангай,48.53,101.39
20,Гол,Хануй - Баян-Агт,Булган,48.95504722,102.1339917
21,Гол,Хороо - Ханх,Хөвсгөл,51.59345278,100.4616917
22,Гол,Эг - Хатгал,Хөвсгөл,50.42061111,100.1523194
23,Гол,Эг - Эрдэнэбулган,Хөвсгөл,50.09717778,101.5860028
24,Гол,Эг - Тэшиг,Булган,49.73516944,102.7494472
25,Гол,Эг - Хантай,Булган,49.54958056,103.2626639
26,Гол,Үүр - Цагаан-Үүр,Хөвсгөл,50.59676944,101.5253306
27,Гол,Уйлган - Цагаан-Үүр,Хөвсгөл,50.63358889,99.19383056
28,Гол,Эрин - Тэшиг,Булган,50.03805556,102.4472222
29,Гол,Тарвагатай - Хужирт,Өвөрхангай,49.76159444,103.1712528
30,Гол,Орхон - Бат-Өлзий,Өвөрхангай,46.874075,102.1781167
31,Гол,Орхон - Хархорин,Өвөрхангай,47.20111111,102.7988889
32,Гол,Орхон - Өлзийт,Өвөрхангай,48.09090556,102.5608472
33,Гол,Орхон - Сайхан,Булган,48.58024444,102.7313333
34,Гол,Орхон - Орхон сум,Булган,48.65969167,103.5708083
35,Гол,Орхон - Орхон аймаг,Орхон,49.12850556,105.3435722
36,Гол,Орхон - Сүхбаатар,Сэлэнгэ,50.06555556,106.1316667
37,Гол,Хөгшин Орхон - Хархорин,Өвөрхангай,47.15222222,102.9830556
38,Гол,Зэгстэй - Өлзийт,Өвөрхангай,46.70987222,103.2994417
39,Гол,Хойттамир - Ихтамир,Архангай,47.60896389,101.254275
40,Гол,Урдтамир - Цэцэрлэг,Архангай,47.43988333,101.497575
41,Гол,Ачуут - Булган,Булган,48.82916111,103.5030306
42,Гол,Зүүнтүрүү - Булган,Булган,48.82909722,103.5450944
43,Гол,Туул - Босгын гүүр,Төв,48.03483333,107.7337444
44,Гол,Туул - Улаанбаатар,Улаанбаатар,47.88895,106.9158306
45,Гол,Туул - Алтанбулаг,Төв,47.87108333,105.1924222
46,Гол,Туул - Лүн,Төв,47.69995556,106.3298583
47,Гол,Туул - Сонгино,Улаанбаатар,48.23403333,104.3286528
48,Гол,Тэрэлж - Тэрэлж амралт,Төв,48.00178889,107.4547278
49,Гол,Улиастай - Улиастай,Улаанбаатар,48.04130278,107.062525
50,Гол,Сэлбэ - Санзай,Улаанбаатар,48.12853611,106.8895972
51,Гол,Сэлбэ - Дамбадаржаа,Улаанбаатар,47.97728333,106.925875
52,Гол,Хараа - Баруунхараа,Сэлэнгэ,48.91166667,106.0751667
53,Гол,Хараа - Дархан,Дархан-Уул,50.02033611,106.6697583
54,Гол,Сөгнөгөр - Сөгнөгөр,Төв,48.39697778,106.8811722
55,Гол,Шарын гол - Жимсний станц,Дархан-Уул,49.84117,106.14352
56,Гол,Хүйтэн - Шарын гол,Дархан-Уул,48.48261944,106.5577194
57,Гол,Ерөө - Бугант,Сэлэнгэ,49.42238889,107.2635583
58,Гол,Ерөө - Ерөө,Сэлэнгэ,49.72625833,106.6517139
59,Гол,Ерөө - Дулаанхаан,Сэлэнгэ,49.88083333,106.2404278
60,Гол,Хүдэр - Хүдэр,Сэлэнгэ,49.75609167,107.5330417
61,Гол,Зэлтэр - Зэлтэр,Сэлэнгэ,50.34981389,105.0409361
62,Гол,Шишхэд - Рэнчинлхүмбэ,Хөвсгөл,51.10335556,99.48506945
63,Гол,Гуна - Улаан-Уул,Хөвсгөл,50.61677222,101.8613083
64,Гол,Онон - Биндэр,Хэнтий,49.03358694,111.0167006
65,Гол,Онон - Дадал,Хэнтий,48.84053056,111.6443
66,Гол,Эг - Батширээт,Хэнтий,48.68321667,110.1834306
