aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
АРХАНГАЙ;Эрдэнэмандал;WEATHER;Эрдэнэмандал;48.52919;101.36803;1508.7;
АРХАНГАЙ;Тариат;WEATHER;Тариат;48.15687;99.87659;2054.65;
АРХАНГАЙ;Эрдэнэбулган;WEATHER;Цэцэрлэг;47.47124;101.463;1692.2;
АРХАНГАЙ;Төвшрүүлэх;WEATHER;Төвшрүүлэх;47.38679;101.90873;1617.73;
АРХАНГАЙ;Чулуут;WEATHER;Чулуут;47.53735;100.24145;2028.38;
АРХАНГАЙ;Хангай;WEATHER;Хангай;47.85782;99.43481;2132.5;
АРХАНГАЙ;Хайрхан;WEATHER;Хайрхан;48.61259;101.93677;1350.0;
АРХАНГАЙ;Өлзийт;WEATHER;Өлзийт;48.10275;102.55427;1300.68;
АРХАНГАЙ;Батцэнгэл;WEATHER;Батцэнгэл;47.79251;101.96777;1426.58;
АРХАНГАЙ;Булган;WEATHER;Булган;47.31947;101.10954;1917.0;
АРХАНГАЙ;Жаргалант;WEATHER;Жаргалант;48.72319;100.76678;1611.4;
АРХАНГАЙ;Хашаат;WEATHER;Хашаат;47.4473;103.14095;1292.4;
АРХАНГАЙ;Өндөр-Улаан;WEATHER;Өндөр-Улаан;48.04632;100.50582;1935.5;
АРХАНГАЙ;Өгийнуур;WEATHER;Өгийнуур;47.66473;102.54793;1349.6;
АРХАНГАЙ;Хотонт;WEATHER;Хотонт;47.36376;102.46468;1455.1;
АРХАНГАЙ;Цахир;WEATHER;Цахир;48.10354;99.13277;2116.2;
АРХАНГАЙ;Цэцэрлэг;WEATHER;Цэцэрлэг;48.88563;101.23735;1713.5;
БАЯНХОНГОР;Жаргалант;WEATHER;Байдраг;47.01626;99.47944;2031.0;
БАЯНХОНГОР;Баянбулаг;WEATHER;Баянбулаг;46.81187;98.08708;2256.75;
БАЯНХОНГОР;Баянговь;WEATHER;Баянговь;44.74772;100.39926;1609.05;
БАЯНХОНГОР;Баянхонгор;WEATHER;Баянхонгор;46.17324;100.70983;1858.43;
БАЯНХОНГОР;Баянцагаан;WEATHER;Баянцагаан;45.01251;98.93336;2006.24;
БАЯНХОНГОР;Шинэжинст;WEATHER;Эхийнгол;43.25447;99.01619;965.0;
БАЯНХОНГОР;Галуут;WEATHER;Галуут;46.70208;100.14283;2430.0;
БАЯНХОНГОР;Шинэжинст;WEATHER;Жинст;44.54536;99.27218;2218.95;
БАЯНХОНГОР;Богд;WEATHER;Хориулт;45.19414;100.77345;1274.12;
БАЯНХОНГОР;Хүрээмарал;WEATHER;Хүрээмарал;46.41322;98.2851;2084.0;
БАЯНХОНГОР;Баян-Өндөр;WEATHER;Баян-Өндөр;44.80195;98.65229;2379.49;
БАЯНХОНГОР;Бөмбөгөр;WEATHER;Бөмбөгөр;46.21098;99.60478;2017.73;
БАЯНХОНГОР;Бууцагаан;WEATHER;Бууцагаан;46.17856;98.69318;1958.0;
БАЯНХОНГОР;Баацагаан;WEATHER;Байнсайр;45.55699;99.42904;1327.41;
БАЯНХОНГОР;Жинст;WEATHER;Бодь;45.41389;100.5717;1408.23;
БАЯНХОНГОР;Баянлиг;WEATHER;Баянлиг;44.54005;100.82857;1340.0;
БАЯНХОНГОР;Гурванбулаг;WEATHER;Гурванбулаг;47.22186;98.57018;2430.0;
БАЯНХОНГОР;Баянхонгор;WEATHER;Шаргалзуут;46.34242;101.23045;2145.0;
БАЯНХОНГОР;Эрдэнэцогт;WEATHER;Эрдэнэцогт;46.41932;100.83091;2094.43;
