Аймаг;№;Сумын нэр;Өртөө/Харуулын нэр;Өргөрөг;Уртраг;Өндөр
АРХАНГАЙ;1;Эрдэнэмандал;Эрдэнэмандал;48.52919;101.36803;1508.7
АРХАНГАЙ;2;Тариат;Тариат;48.15687;99.87659;2054.65
АРХАНГАЙ;3;Эрдэнэбулган;Цэцэрлэг;47.47124;101.463;1692.2
АРХАНГАЙ;4;Төвшрүүлэх;Төвшрүүлэх;47.38679;101.90873;1617.73
АРХАНГАЙ;5;Чулуут;Чулуут;47.53735;100.24145;2028.38
АРХАНГАЙ;6;Хангай;Хангай;47.85782;99.43481;2132.5
АРХАНГАЙ;7;Хайрхан;Хайрхан;48.61259;101.93677;1350.0
АРХАНГАЙ;8;Өлзийт;Өлзийт;48.10275;102.55427;1300.68
АРХАНГАЙ;9;Батцэнгэл;Батцэнгэл;47.79251;101.96777;1426.58
АРХАНГАЙ;10;Булган;Булган;47.31947;101.10954;1917.0
АРХАНГАЙ;11;Жаргалант;Жаргалант;48.72319;100.76678;1611.4
АРХАНГАЙ;12;Хашаат;Хашаат;47.4473;103.14095;1292.4
АРХАНГАЙ;13;Өндөр-Улаан;Өндөр-Улаан;48.04632;100.50582;1935.5
АРХАНГАЙ;14;Өгийнуур;Өгийнуур;47.66473;102.54793;1349.6
АРХАНГАЙ;15;Хотонт;Хотонт;47.36376;102.46468;1455.1
АРХАНГАЙ;16;Цахир;Цахир;48.10354;99.13277;2116.2
АРХАНГАЙ;17;Цэцэрлэг;Цэцэрлэг;48.88563;101.23735;1713.5
БАЯНХОНГОР;1;Жаргалант;Байдраг;47.01626;99.47944;2031.0
БАЯНХОНГОР;2;Баянбулаг;Баянбулаг;46.81187;98.08708;2256.75
БАЯНХОНГОР;3;Баянговь;Баянговь;44.74772;100.39926;1609.05
БАЯНХОНГОР;4;Баянхонгор;Баянхонгор;46.17324;100.70983;1858.43
БАЯНХОНГОР;5;Баянцагаан;Баянцагаан;45.01251;98.93336;2006.24
БАЯНХОНГОР;6;Шинэжинст;Эхийнгол;43.25447;99.01619;965.0
БАЯНХОНГОР;7;Галуут;Галуут;46.70208;100.14283;2430.0
БАЯНХОНГОР;8;Шинэжинст;Жинст;44.54536;99.27218;2218.95
БАЯНХОНГОР;9;Богд;Хориулт;45.19414;100.77345;1274.12
БАЯНХОНГОР;10;Хүрээмарал;Хүрээмарал;46.41322;98.2851;2084.0
БАЯНХОНГОР;11;Баян-Өндөр;Баян-Өндөр;44.80195;98.65229;2379.49
БАЯНХОНГОР;12;Бөмбөгөр;Бөмбөгөр;46.21098;99.60478;2017.73
БАЯНХОНГОР;13;Бууцагаан;Бууцагаан;46.17856;98.69318;1958.0
БАЯНХОНГОР;14;Баацагаан;Байнсайр;45.55699;99.42904;1327.41
БАЯНХОНГОР;15;Жинст;Бодь;45.41389;100.5717;1408.23
БАЯНХОНГОР;16;Баянлиг;Баянлиг;44.54005;100.82857;1340.0
БАЯНХОНГОР;17;Гурванбулаг;Гурванбулаг;47.22186;98.57018;2430.0
БАЯНХОНГОР;18;Баянхонгор;Шаргалзуут;46.34242;101.23045;2145.0
БАЯНХОНГОР;19;Эрдэнэцогт;Эрдэнэцогт;46.41932;100.83091;2094.43
БАЯН-ӨЛГИЙ;1;Баяннуур;Баяннуур;48.93936;91.16134;1333.64
БАЯН-ӨЛГИЙ;2;Дэлүүн;Дэлүүн;47.86258;90.69703;2157.0
БАЯН-ӨЛГИЙ;3;Булган;Дөчинжил;46.93012;91.08189;1933.0
БАЯН-ӨЛГИЙ;4;Ногооннуур;Ногооннуур;49.61528;90.24333;1484.25
БАЯН-ӨЛГИЙ;5;Өлгий;Өлгий;48.97968;89.93847;1720.49
БАЯН-ӨЛГИЙ;6;Алтай;Yalalt;48.29914;89.51517;2144.0
БАЯН-ӨЛГИЙ;7;Улаанхус;Улаанхус;49.04069;89.43105;1774.8
БАЯН-ӨЛГИЙ;8;Сагсай;Сагсай;48.90696;89.64441;1760.09
БАЯН-ӨЛГИЙ;9;Баянт;Баянт;48.58106;89.54366;1975.4
БАЯН-ӨЛГИЙ;10;Цэнгэл;Цэнгэл;48.94432;89.14644;1896.59
БАЯН-ӨЛГИЙ;11;Толбо;Толбо;48.41073;90.29919;2118.68
БАЯН-ӨЛГИЙ;12;Сагсай;Даян;48.26667;88.86667;2230.0
БУЛГАН;1;Булган;Булган;48.81829;103.51873;1220.65
БУЛГАН;2;Гурванбулаг;Гурванбулаг;47.7445;103.48128;1092.63
БУЛГАН;3;Сэлэнгэ;Ингэттолгой;49.45584;103.97707;799.26
БУЛГАН;4;Могод;Могод;48.28025;102.98122;1439.0
БУЛГАН;5;Тэшиг;Тэшиг;49.94646;102.66743;1018.9
БУЛГАН;6;Орхон;Орхон;48.62478;103.54854;1065.8
БУЛГАН;7;Сайхан;Сайхан;48.66514;102.6234;1481.1
БУЛГАН;8;Баяннуур;Баяннуур;47.8312;104.44857;971.79
БУЛГАН;9;Хишиг-Өндөр;Хишиг-Өндөр;48.29661;103.42701;1308.64
БУЛГАН;10;Хутаг-Өндөр;Хутаг;49.39364;102.70897;942.86
БУЛГАН;11;Дашинчилэн;Дашинчилэн;47.84725;104.04355;1017.93
БУЛГАН;12;Рашаант;Рашаант;47.37288;103.94827;1365.35
БУЛГАН;13;Хангал;Хангал;49.32083;104.37962;1041.15
БУЛГАН;14;Баян-Агт;Баян-Агт;49.03875;102.07788;1523.7
БУЛГАН;15;Бүрэгхангай;Бүрэгхангай;48.25181;103.86795;1290.94
БУЛГАН;16;Бугат;Бугат;49.0593;103.67366;1221.94
ДАРХАН-УУЛ;1;Дархан;Дархан;49.49054;105.94001;711.0
ДАРХАН-УУЛ;2;Шарынгол;Шаазгайт;49.24497;106.41126;917.66
ДАРХАН-УУЛ;3;Орхон;Шарынгол;49.84675;106.14983;640.83
ДАРХАН-УУЛ;4;Хонгор;Хонгор;49.30897;105.9239;722.06
ДОРНОД;1;Чойбалсан;Чойбалсан;48.0812;114.5375;746.0
ДОРНОД;2;Дашбалбар;Дашбалбар;49.55091;114.40425;706.65
ДОРНОД;3;Халхгол/Сүмбэр;Халхгол;47.63015;118.62209;687.27
ДОРНОД;4;Матад;Матад;46.95508;115.29636;903.24
ДОРНОД;5;Баян-Уул;Onon;49.11418;112.65807;893.0
ДОРНОД;6;Гурванзагал;Гурванзагал;49.14508;114.87575;711.57
ДОРНОД;7;Баянтүмэн;Баянтүмэн;48.05375;114.36047;756.01
ДОРНОД;8;Сэргэлэн;Сэргэлэн;48.51008;114.02248;759.01
ДОРНОД;9;Баяндун;Баяндун;49.24637;113.36979;947.23
ДОРНОД;10;Чулуунхороот;Эрээнцав;49.86677;115.70074;616.45
ДОРНОД;11;Булган;Булган;47.99972;113.92802;788.0
ДОРНОД;12;Халхгол;Халхгол;47.98791;118.10931;607.0
ДОРНОД;13;Цагаан-Овоо;Цагаан-Овоо;48.56809;113.2369;862.21
ДОРНОД;14;Хөлөнбуйр;Хөлөнбуйр;47.92366;112.95439;856.24
ДОРНОД;15;Хэрлэн;Хэрлэн;48.08123;114.53752;746.0
ДОРНОГОВЬ;1;Дэлгэрэх;Дэлгэрэх;45.79554;111.21071;1065.19
ДОРНОГОВЬ;2;Хөвсгөл;Хөвсгөл;43.60447;109.63622;994.68
ДОРНОГОВЬ;3;Мандах;Мандах;44.40162;108.24948;1307.12
ДОРНОГОВЬ;4;Сайншанд;Сайншанд;44.87796;110.11932;937.0
ДОРНОГОВЬ;5;Эрдэнэ;Улаан-Уул;44.4439;111.08614;992.25
ДОРНОГОВЬ;6;Замын-Үүд;Замын-Үүд;43.71375;111.90422;963.35
ДОРНОГОВЬ;7;Иххэт;Иххэт;46.38213;110.09716;1204.0
ДОРНОГОВЬ;8;Алтанширээ;Алтанширээ;45.54484;110.46893;969.0
ДОРНОГОВЬ;9;Айраг;Айраг;45.8013;109.31747;1055.0
ДОРНОГОВЬ;10;Сайхандулаан;Сайхандулаан;44.69405;109.01676;1261.0
ДОРНОГОВЬ;11;Улаанбадрах;Улаанбадрах;43.875;110.42566;990.53
ДОРНОГОВЬ;12;Хатанбулаг;Хатанбулаг;43.15632;109.1437;1135.0
ДОРНОГОВЬ;13;Өргөн;Өргөн;44.73034;110.78223;981.25
ДУНДГОВЬ;1;Эрдэнэдалай;Эрдэнэдалай;45.99882;104.93827;1377.4
ДУНДГОВЬ;2;Говь-Угтаал;Говь-Угтаал;46.04912;107.48359;1483.52
ДУНДГОВЬ;3;Гурвансайхан;Гурвансайхан;45.5283;107.04603;1165.32
ДУНДГОВЬ;4;Сайншанд;Мандалговь;45.74311;106.26469;1394.28
ДУНДГОВЬ;5;Сайхан-Овоо;Сайхан-Овоо;45.46098;103.90045;1316.41
ДУНДГОВЬ;6;Цагаандэлгэр;Цагаандэлгэр;46.40536;107.63734;1363.98
ДУНДГОВЬ;7;Адаацаг;Адаацаг;46.38408;105.73796;1474.23
ДУНДГОВЬ;8;Өндөршил;Өндөршил;45.23252;108.27933;1175.9
ДУНДГОВЬ;9;Дэрэн;Дэрэн;46.2087;106.71472;1292.26
ДУНДГОВЬ;10;Дэлгэрхангай;Дэлгэрхангай;45.2387;104.79835;1472.34
ДУНДГОВЬ;11;Хулд;Хулд;45.22571;105.55292;1335.08
